author,date,comment
oidjsf,1401-02-03,"منظور این شعر اینه که بهشت و جهنم کشکه, برو حالتو بکن"
oidjsf,1401-02-03,بسیار عالی گفتید. به این میگویند تفسیر درست (و عمومی) شعر خیام :)
oidjsf,1401-02-03,بنظر من منظور خیام این بوده که آن دنیا آینه تمام نمای این دنیاست اگر بد کنی بد میبینی و می خوردن بد نیست چون خدا به بندگانش در بهشت وعده آنرا داده پس بخورید بدون احساس گناه
oidjsf,1401-02-03,برداشتی که از این رباعی می توان داشت این است که عده ای بهشت را بخاطر حوریان بهشتی می خواهند در حالی که خیام بهشت را بخاطر می و شراب نابش می طلبد و دوست دارد... !!!!
oidjsf,1401-02-03,من قصد بی احترامی ندارم اما اشتباه میکنید. این نقد بگیر و دست از آن نسیه بدار منطور این است که بهشت و جهنم ما حمین حال است ... به امید بهشت آیینده ننشینید ... بهشتتان را همین امروز و در همین زمان حال بسازید چون کاواز دهل شنیدن از دور خوش است. ول کن بهشت و جهنمو .. در زمان حال جوری زندگی کن و از زندگیت لذت ببر که بهشت تو همین حال باشد.
oidjsf,1401-02-03,جمله ی اخر اقای محمد اوج تفکر عرفانی یک حقیقت عمیق است...
oidjsf,1401-02-03,من به گفته م ح موافقم، بر علاوه چون کنایه از آب انگور ویا می در اشعار،  نور حق یا نور خداوندی میباشد، از این رو  برداشت از رباعی خیام این است  که حاضر نقد را بگیر یعنی در زندگی خویش نور حق را حاصل کن زیرا تا زمانیکه در زندگی امروز قلب انسان با نور حق آراسته نگردد نمتوان بهشت را حاصل کرد.
oidjsf,1401-02-03,@م.ح: در تمامِ اشعارِ خیّام درباره‌یِ زندگی کردن در زمانِ حال هست و هیچ‌جا دم از آخرت و این‌ها نمیزنه
oidjsf,1401-02-03,به شعرِ پایین توجّه کنید:
oidjsf,1401-02-03,از دی که گذشت هیچ ازو یاد مکن/فردا که نیامده ست فریاد مکن/برنامده و گذشته بنیاد مکن/حالی خوش باش و عمر بر باد مکن
oidjsf,1401-02-03,مثلاً یه نمونه بود...یا:
oidjsf,1401-02-03,قرآن که مهین کلام خوانند آن را/گه گاه نه بر دوام خوانند آن را/بر گرد پیاله آیتی هست مقیم/کاندر همه جا مدام خوانند آن را
oidjsf,1401-02-03,چه آدمای ساده ای هستند اونایی که فکر میکنند وقتی خیام گفته شراب، منظورش شراب بوده!
oidjsf,1401-02-03,منظور خیام اینه که تویی که خلیفه خدا روی زمین هستی، سعی کن روی زمین هم برای خودت بهشتی خلق کنی و خداگونه زندگی کنی، یعنی صفات خدا رو در رفتار و اعمال خودت متجلی کنی...
oidjsf,1401-02-03,@می گسار:
oidjsf,1401-02-03,من مسلما بهتر از خیام نمی فهمم و فهم من رو در مقابل خیام، حتی به قطره ای در برابر دریا نمیشه تشبیه کرد...
oidjsf,1401-02-03,ولی در مورد بعضیها، بیت زیر کاربرد فوق العاده ای داره:
oidjsf,1401-02-03,آنکس که نداند و نداند که نداند / در جهل مرکب ابدالدهر بماند 
oidjsf,1401-02-03,بعضیها هنوز نمیدونند ادبیات یعنی چی، و از این موضوع آگاهی ندارند که در ادبیات، کلمات ظاهری معانی بزرگ و بالایی دارند که شاعر سعی داره اونا رو به خواننده ها القا کنه.
oidjsf,1401-02-03,ب نظر من زیبایی شعر خیام به اینه که برای همه قشری اشعارش معنی داره و در نهایت همه رو به زندگی سالم و با لذت تشویق می کنه. یکی می خواد مستقیم برداشت کنه که آب انگور( که البته کاملا به صراحت گفته) همون شرابه. خب این درسته. کسی دیگه می خواد به تجلی نور خدا مربوطش کنه اونم می تونه از زندگیش طوری که دوست داره لذت ببره. من ترجیح میدم در این زمینه مثل عوام فکر کنم و معنی ادبیات رو نفهمم. می خوام نقد بگیرم و بی خیال نسیه شم.
oidjsf,1401-02-03,"دوستان با توجه به اشعار دیگه خیام، من کاملا با نظر علی و اکثر دوستان موافقم. خیام تو بیشتر شعرهاش وعده های مذهب رو ""نسیه"" و لذائذ حال رو ""نقد"" میدونه. نمونه هاش:"
oidjsf,1401-02-03,"""گویند"" بهشت و حوض کوثر باشد"
oidjsf,1401-02-03,جوی می و شیر و شهد و شکر باشد
oidjsf,1401-02-03,پر کن قدح باده و بر دستم نه
oidjsf,1401-02-03,نقدی ز هزار نسیه بهتر باشد
oidjsf,1401-02-03,یا: 
oidjsf,1401-02-03,ای دل تو به اسرار معما نرسی 
oidjsf,1401-02-03,در نکته زیرکان دانا نرسی 
oidjsf,1401-02-03,اینجا به می لعل بهشتی میساز 
oidjsf,1401-02-03,کانجا که بهشت است رسی یا نرسی
oidjsf,1401-02-03,"تلاش برای مصادره کردن ابیات شعرا به نفع اسلام و مسلمین قدمتش طولانی ه. نمونه اش هم کتاب ""تماشاگه راز"" آقای مطهریه که تلاش زیادی کرده حافظ رو اونجور که خوشایند امت اسلام هست تصویر کنه."
oidjsf,1401-02-03, 
oidjsf,1401-02-03,"ولی راستش رو بخواین، گرچه تفسیرهایی که ""می"" رو به معرفت خدا و ساقی و مطرب و معشوق رو به نمادهای الهی تعبیر میکنند شاید در مورد بعضی شعرا آن هم بعضی از اشعارشان درست باشد، اما این که این مفاهیم رو به صورت فله ای برای تفسیر شعر همه شعرا بکار ببریم و بگیم هرجا ""می"" بود معنی اش معرفت خداست، کاری است بس سطحی. جالب است که کسانی هم که معمولا این تفاسیر رو بکار می برند معمولا بجای اینکه از قشر ادیب جامعه باشند از قشر منبری هستند."
oidjsf,1401-02-03,استاد کیارستمی هم از این شعر ناب در شعر زیبای باد ما را خواهد برد استفاده کرده
oidjsf,1401-02-03,طبق دستورات بزرگان باید به هر اعتقاد و یقینی که به مخلوقات زیان و آسیب نمی رساند احترام گذاشت و به قولی هرکسی از ظن خود شد یار من حضرت خیام نیز در زمان شوری خود بیشتر به خالق خود نزدیک تر می شدند.
oidjsf,1401-02-03,درود بر همه ایرانی هایه عزیز ببخشید منم میخوام با کسب اجازه از شما نظری بدم به اندازه  ظرف وجودی خودم متاسفانه نمیدونم مشکل کجاست که همه فکر میکنن خدا پرستی یعنی رستگاری و بی دین بودن یعنی دوزخ و..... اماچیزی که هست به قول خیام  آن مدعیان که در معنی سفتند    و از چرخ به گونه گون سخنها گفتند    اگه چو نبودند به اسرار نهان     با خود زنخی زدند و اخر خفتند  پس کسی نمیدونه بعد از مرگ برایه ما چه اتفاقی می افته البته میدونم که دین فروش ها حرفهایه زیادی میزنن ولی اون فقط یه راه کسب درامده وشغلشون ایجاد میکنه ولی این عمر ماست که داره خرج میشه پس زندگی خودمون رو پای شک ویقین خراب نکنیم  وخوش باشیم و عشق بورزیم به هر چیزی که ما رو خوشحال میکنه . پس خوش باشید وبه فردا ودیروز فکر نکنید
oidjsf,1401-02-03,باید حتما مستقیم فحش می داد به خدا و پیر و پیغمبر که منظورشو می گرفتید ؟!
oidjsf,1401-02-03,معنی این شعر اینه:
oidjsf,1401-02-03,مردم می گن باید کار خوب کنیم و از لذت های دنیا پرهیز کنیم تا تو اون دنیا خوش بخت شیم 
oidjsf,1401-02-03,من می گم اومدیم و اون دنیا وجود نداشت پس همین الان رو بچسب و حالتو بکن 
oidjsf,1401-02-03,این دیگه بحث داره بابا
oidjsf,1401-02-03,متاسفانه بعضی ها اینگونه تربیت شده اند که فقط نظر بدهند وهر کسی که بر خلاف آنها اعتقادی داشت را تخطئه کنند.در باره شعرشاعران دو احتمال وجود دارد 1- با زبان شعر وکنایه سخن گفته اند 2- با زبان عامیانه وکوچه بازاری سخن رانده...در صورت اول باید رمز گشایی شود که البته این کار تخصص لازم دارد واگر در حد شهید مطهری که یک فیلسوف مسلط به ادبیات میباشد نیست صد در صد در حد کاربران غیر متخصص اینتر نتی هم نیست خصوصا که به جهت نا شناس بودن تعهد و ضمانتی هم در برابر گفته های از سر جو زدگیشان ندارند پس لطفا زبان به کام بگیرید . 
oidjsf,1401-02-03,واگر کوچه بازاری است دیگر ارزش یک شعر را نخواهد داشت .چون شعر صرفا وزن و قافیه نیست و در این صورت یک عقده گشایی شاعرانه خواهد بود .از طرفی میدان مشخص کردن اعتقاد صحیح از نا صحیح در میدانهای پر از مشقت استدلال و تعقل  و شنیدن و بیان براهین عقلیه است وکسی که عقیده اش را از شعرا میگیرد غیر معقول عمل کرده چرا که تن به منطق شعری داده است که از ثبات و اتقان برخوردار نیست .با نهایت احترام برای کاربرانی که مستدل نقد فرموده اند باید عرض کنم گویا گروهی عرصه را برای بیان احساسات غیر عقلایی خود خالی دیده اند واگر بخواهم  باهمان زبان عامیانه مورد پسند آنان بگویم باید عرض کنم که یک تعداد شرابخوار در پی تایید شاعرانه برای عمل زشت خودشان هستند که به آنها توصیه میکنم بروید بنوشید این نجاست را و در پی تایید یا تکذیب نباشید که شما در هر صورت مینوشید حتی اگر کسی چون خیام از این واژه ها بهره نمیبرد
oidjsf,1401-02-03,خطاب به تلخ :
oidjsf,1401-02-03,اولن این شعر صد در صد کوچه بازاری نیست و کاملاً با زبان شعر و کنایه بیان شده و اونهم کنایه به افرادی بوده در ذهنشون یک پیشفرضهایی را قرار دادند و ریشه آن را هیچگاه نمیکنند . ضمناً شاعران دیگر هم ممکن است حسابشان با خیام فرق کند شما همه را یکی کردید . ضمناً مطهری هم درباره حافظ کتاب نوشته اما در مورد خیام به یاد ندارم مطلبی داشته باشند شما بهتر بود اول یک دور اشعار خیام را با تفکر میخواندید بعد حرف از فضل میزدید .
oidjsf,1401-02-03,جهانبینی خیام در تمام رباعیاتی که در گنجور آمده آنقدر واضح و مبرهن است که نیازی به تفسیر به رأی ندارد و تفاسیر به رأیی هم شده کاملاً سطحی است . این اشعار را نمیتوانید هیچکاریش بکنید .
oidjsf,1401-02-03,خیام در این رباعی نقل قول میکند از افراد مذهبی که میگویند بهشتی ها با حوری خوشند اما من آب انگور را دوست دارم . آواز دهل شنیدن از دور خوش است . حال شما تفسیر عرفانی! خود را بگویید ؟ اگر قرار باشد  برای شعر استدلال نکنیم پس اینهمه شرح دیوان حافظ همه کشک است ؟ ضمناً استدلال کردن برای پی بردن به مقصود شاعر با تن دادن به منطق شعری فرق دارد . چون شاعران گاه از حسن تعلیل (علت غیر منطقی برای یک پدیده استفاده میکنند ) استفاده میکنند اما مقصود کاملاً منطقی دارند .
oidjsf,1401-02-03, پاراگراف آخرتون هم مغلطه بود  . اگر کسی اعتقاد داشته باشه شراب در شعر خیام هست لزوماً شرابخوار هم نیست و اگر هم باشد ربطی به اینجا ندارد .
oidjsf,1401-02-03,خطاب به م.ح : برداشت کاملاً اشتباهی بود . اگر هم به فرض خیام آب انگور بهشت را بر حوری بهشت ترجیح میدهد پس بیت دوم را چه میکنید ؟ در بیت دوم خیام میگوید فعل نزدیک را بچسب و آینده را رها کن نسیه را رها کن . پس اگر آب انگور مربوط به بهشت باشد منظور خیام از نقد و نسیه چیست ؟ حوری بهشت و می بهشت هر دو نسیه هستند پس می مربوط به دنیا(نقد) و حوری مربوط به بهشت(نسیه) است و خیام میگوید حوری بهشت را ول کن و به می دنیا بچسب . حالا اگر این می می عرفانی باشد نیازی ندارد که حوری را رهاکند چون هر دو در طول همدیگر هستند ( هم حوری هم می عرفانی ) اما اگر می دنیایی باشد شعر را میتوان توجیه کرد چنان که در سایر رباعی ها هم همین مطلب را رسانده است :
oidjsf,1401-02-03,گویند بهشت و حورعین خواهد بود
oidjsf,1401-02-03,آنجا می و شیر و انگبین خواهد بود
oidjsf,1401-02-03,گر ما می و معشوق گزیدیم چه باک
oidjsf,1401-02-03,چون عاقبت کار چنین خواهد بود
oidjsf,1401-02-03,چه جالبه.. فکر می کنم اگر خیام الان زنده بود پایین این حاشیه ها از شعر دوستش استفاده می کرد و می گفت: هر کسی از ظن خود شد یار من ×× از درون من نجست اسرار من
oidjsf,1401-02-03,گرچه می شه از شعر خودش هم استفاده کرد که میفرماید: 
oidjsf,1401-02-03,گاویست در آسمان و نامش پروین
oidjsf,1401-02-03,یک گاو دگر نهفته در زیر زمین
oidjsf,1401-02-03,چشم خردت باز کن از روی یقین
oidjsf,1401-02-03,زیر و زبر دو گاو مشتی خر بین
oidjsf,1401-02-03,در مورد اکثریتی که شراب و می خیام رو  تعبیر خدایی و مذهبی می کنن، جدا کاربرد داره.. به قول خودشون.. در جهل مرکب ابد الدهر بمانند..
oidjsf,1401-02-03,زیست احمقانه   در مقابل   زیست هستی اندیش
oidjsf,1401-02-03,زیست نباتی ، اقتصادی  و مثل کرم دور خود پله بستن و عافیت طلب   در مقابل  زیست آنچه که شایسته انسان است . انتخاب با خودته هر جور میخوای زندگی کن آخه مخت نمیکشه که بفهمی
oidjsf,1401-02-03,زمانی که انسان می اندیشه و به یک فهمی میرسه چقدر خودشو و موجودیتشو احساس میکنه و در هستنگاه خودش تثبیت میشه حالا
oidjsf,1401-02-03,تو با مستی خودت خودتو تثبیت کن .
oidjsf,1401-02-03,قران نخون برو دکارت بخون برو هگل بخون برو فیلم
oidjsf,1401-02-03,سولاریس تارکوفسکی رو ببین فیلم ادیسه فضایی
oidjsf,1401-02-03,2001 کوبریک و ببین فیلم توت فرنگی های وحشی رو ببین برو فلسفه هایدگر رو بخون .
oidjsf,1401-02-03,بعدش بیا خیام بخون ببین خیام چی گفته.و سهروردی چه گفته . 
oidjsf,1401-02-03,آدم متاسف میشه  با این  ....
oidjsf,1401-02-03,خطاب به تلخ گوشت تلخ:
oidjsf,1401-02-03,اولاً باید عرض کنم وقتی یه شعر اینقدر روان و سلیس هستش که همه از کوچیک و بزرگ معنیش رو درک کنن این کوچه بازاری نیست که اگه اینطور بود تلخک جان تو هم الان 4-5 تا دیوان شعر و رباعیات داشتی ثانیاً اینکه خیام رو فقط با رباعیاتش بخوای بشناسی نتیجش میشه طرز تفکری که تو داری 200 تا 300 سال پیش ایران رو تو دنیا به 2 تا چیز می شناختن فرش ایرانی و خیام سوماً رباعیات خیام کوچکترین موضوعی هستش که خیام رو میشه باهاش شناخت اگه میخوای معنی شعرای خیام رو بهتر بفهمی به کارای دیگش هم یه توجه بکن: ستاره شنای برجسته ای که تقویم جلالی رو پایه گذاری کرد-جبر و ریاضیات رو متحول کرد-در پزشکی سرآمد دوران خودش بود و در فلسفه به نهایت رسیده بود آیا به واقع می توان گفت یه همچین شخصیتی شعرای کوچه بازاری گفته باشه؟ واقعاً برات متاسف شدم.....
oidjsf,1401-02-03,شما خودتون را در برابر زاهد سجاده نشینی ببینید که همیشه شما رو به پرهیز از همه خوشی ها چه حلال و چه غیر حلال دعوت میکنه
oidjsf,1401-02-03,حال شما خودتون رو در برابر سودجو زاهد نمایی تصور کنید که دم از دین می زنه تا شما رو از حق محیروم کنه و شما رو درگیر چیزهای سطحی کنه تا خودش راحت ملاصفتی کنه و بازار گرمی!
oidjsf,1401-02-03,حال اگر شما خودتون رو جای خیام بذارین برای آگاه کردن مردم بهشون میگید که: مرئم به این سودجو زاهدنما اهمیت ندین و بگین که من سهم و حقم رو می حوام ولو به قول تو حرام. من می ئونم و حساب و کتاب اون دنیا.
oidjsf,1401-02-03,27.شما خودتون را در برابر زاهد سجاده نشینی ببینید که همیشه شما رو به پرهیز از همه خوشی ها چه حلال و چه غیر حلال دعوت میکنه
oidjsf,1401-02-03, 
oidjsf,1401-02-03,حال شما خودتون رو در برابر سودجو زاهد نمایی تصور کنید که دم از دین می زنه تا شما رو از حق محیروم کنه و شما رو درگیر چیزهای سطحی کنه تا خودش راحت ملاصفتی کنه و بازار گرمی!
oidjsf,1401-02-03, 
oidjsf,1401-02-03,حال اگر شما خودتون رو جای خیام بذارین برای آگاه کردن مردم بهشون میگید که: مرئم به این سودجو زاهدنما اهمیت ندین و بگین که من سهم و حقم رو می حوام ولو به قول تو حرام. من می ئونم و حساب و کتاب اون دنیا.
oidjsf,1401-02-03,با سلام.اولا من خیلی امیدوار شدم به جامعه اطراف خودم که خیلی منطقی و جسورهستند.حرکت گوسفند وارانه انسان منشا همه مشکلات است پس باید مانند پرنده رها وسرکش بود.مثل خیام .به نظر من شعر کاملا روشن است .بهشت در وجود خودمان ست نه درجایی دیگردر همین مکان وزمان.بهشت در دستان ابر انسان نیچه هست .بهشت درتفکرات شریف تنهایی مان هست .....ونه درآنچه در بوق وکرنا می کنند .
oidjsf,1401-02-03,زندگی پوچ است و مسخره/
oidjsf,1401-02-03,امروز را زندگی کن و فردا را رها و به هیچ جز اکنون و لذت های امروز نظاره مکن.
oidjsf,1401-02-03,خلاص
oidjsf,1401-02-03,هیچکی نمی تونه با اطمینان بگه منظور خیام چی بوده.ولی یه چیزو مطمینم که خیام اومده همه بند و حصار را همه عادت ها رو ببره زیر سوال.ما رو به فکر ببره همه چیو همین جوری قبول نکنیم.
oidjsf,1401-02-03,ما از این شعر بسیار شنیده ایم و هیچ نظری نداریم
oidjsf,1401-02-03,منظور خیام اینه که دست از این وعده های سر خرمن بردارین
oidjsf,1401-02-03,دنیا و هرچه هست همینه که میبینین
oidjsf,1401-02-03,پس لحظات زندگی رو غنیمت بدونین و با خوشی بگذرونین
oidjsf,1401-02-03,باسلام خدمت تمامی دوستان هرکس رباعیات خیام رابراساس شناخت وفکرخودش درمی یابد.باتوجه به دریافت من که بعضی ازدوستان نیز اشاره داشتندبهشت وجهنم هرکس اکنون وحالاست که می تواند برای خودش ترسیم کندپس سعی کنیم طوری زندگی کنیم که آرامش وبهشتی برای خودمان بسازیم حصارغم واندوه نباشید
oidjsf,1401-02-03,"سلام میخواستم بگم خیام اصلا"" انسان عرفانی نبوده یعنی به همه چیز با علم نظر میکرده و در این شعر خیام خیلی ساده حرف زده انقد پیچیدش نکنید شما هم به شعر ساده نگاه کنید و عرفان رو به این شعر منسوب نکنید کاملا"" مشخصه چی میگه"
oidjsf,1401-02-03,با سلام به نظر بنده منظور از اب انگور همان رسیدن به خدا  وسرمستی از وصال با محبوب است در همین دنیا  مستی یعنی از خود بی خود شدن  یعنی خود را ندیدن یعنی سراسر خدایی شدن
oidjsf,1401-02-03,با سلام به نظر بنده منظور از اب انگور همان رسیدن به خدا وسرمستی از وصال با محبوب است( در همین دنیا )   .(مستی یعنی از خود بی خود شدن یعنی خود را ندیدن یعنی سراسر خدایی شدن)
oidjsf,1401-02-03,"""با سلام به نظر بنده منظور از اب انگور همان رسیدن به خدا وسرمستی از وصال با محبوب است در همین دنیا مستی یعنی از خود بی خود شدن یعنی خود را ندیدن یعنی سراسر خدایی شدن"""
oidjsf,1401-02-03,------------------
oidjsf,1401-02-03,کلا شما از هرچی بخوای هرجور دوست داری برداشت میکنی رفیق.
oidjsf,1401-02-03,این چندخط اینقدر واضح و به زبان مادری شما بهشت و دنیای خیالی پس از مرگ رو تکذیب کرده و شما از پشت عینک خداباوری نمیخواهی یعنی اجازه نداری یه برداشت ساده و واضح داشته باشی.
oidjsf,1401-02-03,درود بر تمامی سروران عزیز
oidjsf,1401-02-03,واقعاً استفاده کردیم.ذهن زیبای همه دوستان عزیز را می ستاییم.
oidjsf,1401-02-03,حق نگهدارتان
oidjsf,1401-02-03,من دوس دارم به صورت نفهم ها و بیسوادا عین شعرو بخونم و معنای صریح نقدینگی دنیا و مستیشو فکر کنم تا نور خداوندو استعاره و تفسیری که مذهبون میکنند تا بشاشن تو شعر
oidjsf,1401-02-03,با درود هیچ چیز مثل پرهیزکاری برای انسان کار ساز نیست . به یقین این گونه است .
oidjsf,1401-02-03,خیام راجع به بهشت نقد در عرفان صحبت میکنه..
oidjsf,1401-02-03,تا کلاس اول رو نری به دوم نمی رسی
oidjsf,1401-02-03,تا دیپلم نگیری دانشگاه نمیری
oidjsf,1401-02-03,بابا حال تو این اولی رو حسابشو برس.. بعد برو پی اون..
oidjsf,1401-02-03,ساز شنیدن صداش از دور خوش هست اما وقتی دستش میگیری میبینی بابا حالا حالا کار داری..
oidjsf,1401-02-03,مصاحبه استاد طاهری بزرگداشت حکیم عمر خیام نیشابوری:
oidjsf,1401-02-03,با سلام 
oidjsf,1401-02-03,گویند کسان بهشت با حور خوش است
oidjsf,1401-02-03,گویم بتو من که آب انگور خوش است
oidjsf,1401-02-03,این نقد بگیر و دست از آن نسیه بدار
oidjsf,1401-02-03,کآواز دهل شنیدن از دور خوش است
oidjsf,1401-02-03,با خواندن وتوحه باشعار یک شاعر مشکل تا به یقین قضاوت نمود که سخن دل و نظر شخصی وی چه بوده است بلکه هر خواننده ای بمیزان ذوق وسلیقه خویش آنرا معنی مینماید و بشاعر نسبت میدهد این امر در مورد ابوعلی سینای ثانی حکیم عمر خیام مردی فاضل و اندیشمند که پس از مطالعات بسیار در علوم مختلف همواره بدنبال چگونگی آفرینش و مجهولات آن بود و اوقات فراغت را بسرودن رباعیاتی که حاکی از افکار او و زبان دلش بود می سپرد نیزصادق میباشد معدودی وی را مادی گرا ویا ماتریالیسم وعده ای دیگر نیز عارف وصوفی میدانند لکن با اندکی مطالعه در سوابق وی حقیقت مطلب تا حدودی روشن میگردد که شعرایی همانند خیام و سعدی وحافظ و امثالهم در عصر خویش بدلیل مواعظ فراوان توسط مبلغین مذهب بمقابله با آنان می پرداختند و اشعاری می سرودند و گفتار آنان را نقض مینمودند لکن مفهوم این نبود که به آفریدگار اعتقاد نداشتند بلکه غرض بر این بود که برای رسیدن به معشوق عاشق نیازی به حوریان و بهشت ندارد ومعبود همواره در دلٍ مطهر میباشد واگر تن آدمی مزین به جان آدمیت باشد کافیست نقداً در دنیای مادی به اعمال نیکو مبادرت نموده ودست از شعار دادن و وعده های نسیه بردارد که دلباخته واقعی نیازی بدان ندارد ولذا فارغ از هرگونه وعده اجمالاَ اعتقاد خیام رابحضرت حق میتوان در این رباعی بسنده نمود
oidjsf,1401-02-03,هرچند که رنگ وبوی زیباست مرا
oidjsf,1401-02-03,چون لاله رخ و چو سرو بالاست مرا
oidjsf,1401-02-03,معلوم نشد که در طربخانه خاک
oidjsf,1401-02-03,نقاش ازل بهر چه آراست مرا
oidjsf,1401-02-03,والسلام
oidjsf,1401-02-03,با احترام
oidjsf,1401-02-03,نازگل
oidjsf,1401-02-03,وقتی که اومدم تک تک جونتونو گرفتم اونوقت که میفهمین خیلی دیر شده
oidjsf,1401-02-03,دوستان انقدر زحمت نکشید ، نمیشه کسی را بیدار کرد که خودشو به خواب زده ، چون خیام از همه چهارده معصوم اینها بزرگرتره و نمیتونن کاری در باره این بزرگی جهان شمول بکنند ، میخواهند افکار خیام را مصادره کنند ، این یک واکنش مغزی ! است
oidjsf,1401-02-03,لطفا نظرتونو واسه خودتون نگه دارین و از شعر لذت ببرین
oidjsf,1401-02-03,به قول سعدی علیه رحمه
oidjsf,1401-02-03,زبان درکش ای مرد بسیار دان
oidjsf,1401-02-03,که فردا قلم نیست بر بی زبان
oidjsf,1401-02-03,یا به قول امروزیا حرف نزنی کسی نمیگه لالی
oidjsf,1401-02-03,شعر به این قشنگیو تفسیر نکنین مزه ش میره
oidjsf,1401-02-03,چه دنیایی چه آخرتی!
oidjsf,1401-02-03,آخرش اونجوری که میخواین برداشت میکنین حالا هی گلو جر بدین و برهان بیارین
oidjsf,1401-02-03,با تشکر از ابوالفتح عمر بن ابراهیم الخیامی معروف به خیام
oidjsf,1401-02-03,خیام از انجا که فیلسوف و ریاضی دان بوده ذهنی پرسش گر از جهان هستی و کائنات داشته و شک و تردید او فلسفی است. اودر هستی و خدا و آخرت و همه چیز شک میکند و هیچ ابهام و کنایه و مبهم گویی در رباعیات او نیست و با دیدگاه عرفا فرق می کند .  در رباعیات او  از عشقی که منظور عرفا است خبری نیست هر چه هست لذت های زمینی و ملموس است . حالا  اگر عده ای دوست دارند همه چیز را با عینک عرفان و راز گونه به بینند ربطی به خیام ندارد !تا انجا که من اطلاع دارم هیچ اهل قلم و صاحب نظری اورا عارف نمی داند. اگر کسی میداندنام ببرد.
oidjsf,1401-02-03,اینایی که رباعیایه خیامو به دین میچسبونن همونایین که اگه از نزدیک در حال می خوری ببیننش میگن داره اب میخوره اگه مست ببیننش میگن نور خدا شادش کرده  ما اصن این مدلی باهاش حال میکنیم می خوار و شراب خوار شوما برین اونجوری که عشق میکنین لای قران دنبالش بگردین
oidjsf,1401-02-03,سلام بر همه 
oidjsf,1401-02-03,من نظرات موافق و مخالف را خوندم برای من هردو طرف قوی و مصمم ظاهر شدن که خیلی عالیه
oidjsf,1401-02-03,من فقط خواستم إز هر دو گروه تشکر کنم که این قدر برای ادبیات کهن ارزش میگذارید و با نظراتتان ان روغنی تر میکنید
oidjsf,1401-02-03,کریستف لوکزنبرگ Christoph Luexenberg معتقد است که قرآن در واقع یک متن سریانی عربی بوده و وی قادر شده است که برخی از سوره ها و آیات را رمزگشایی کند. برای مثال سوره کوثر هیچ معنایی نمی دهد اگر شما آنرا متنی سریانی در نظر نگیرید. اما اگر این کار را بکنید معنای این سوره مبهم آشکار می شود3.“لوکزنبورگ همچنین اولین کسی بود که دریافت کلمه حورین در قرآن که ما آنرا به معنای باکرگان بهشت الله تصور می کنیم معنایی جز میوه انگور نمی دهد.”
